code,name
4,АФГАНИСТАН
8,АЛБАНИЯ
10,АНТАРКТИДА
12,АЛЖИР
16,АМЕРИКАНСКОЕ САМОА
20,АНДОРРА
24,АНГОЛА
28,АНТИГУА И БАРБУДА
31,АЗЕРБАЙДЖАН
32,АРГЕНТИНА
36,АВСТРАЛИЯ
40,АВСТРИЯ
44,БАГАМЫ
48,БАХРЕЙН
50,БАНГЛАДЕШ
51,АРМЕНИЯ
52,БАРБАДОС
56,БЕЛЬГИЯ
60,БЕРМУДЫ
64,БУТАН
68,"БОЛИВИЯ, МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО"
70,БОСНИЯ И ГЕРЦЕГОВИНА
72,БОТСВАНА
74,ОСТРОВ БУВЕ
76,БРАЗИЛИЯ
84,БЕЛИЗ
86,БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ
90,СОЛОМОНОВЫ ОСТРОВА
92,ВИРГИНСКИЕ ОСТРОВА (БРИТАНСКИЕ)
96,БРУНЕЙ-ДАРУССАЛАМ
100,БОЛГАРИЯ
104,МЬЯНМА
108,БУРУНДИ
112,БЕЛАРУСЬ
116,КАМБОДЖА
120,КАМЕРУН
124,КАНАДА
132,КАБО-ВЕРДЕ
136,ОСТРОВА КАЙМАН
140,ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА
144,ШРИ-ЛАНКА
148,ЧАД
152,ЧИЛИ
156,КИТАЙ
158,ТАЙВАНЬ (КИТАЙ)
162,ОСТРОВ РОЖДЕСТВА
166,КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА
170,КОЛУМБИЯ
174,КОМОРЫ
175,МАЙОТТА
178,КОНГО
180,"КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА"
184,ОСТРОВА КУКА
188,КОСТА-РИКА
191,ХОРВАТИЯ
192,КУБА
196,КИПР
203,ЧЕХИЯ
204,БЕНИН
208,ДАНИЯ
212,ДОМИНИКА
214,ДОМИНИКАНСКАЯ РЕСПУБЛИКА
218,ЭКВАДОР
222,ЭЛЬ-САЛЬВАДОР
226,ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ
231,ЭФИОПИЯ
232,ЭРИТРЕЯ
233,ЭСТОНИЯ
234,ФАРЕРСКИЕ ОСТРОВА
238,ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ)
239,ЮЖНАЯ ДЖОРДЖИЯ И ЮЖНЫЕ САНДВИЧЕВЫ ОСТРОВА
242,ФИДЖИ
246,ФИНЛЯНДИЯ
248,АЛАНДСКИЕ ОСТРОВА
250,ФРАНЦИЯ
254,ФРАНЦУЗСКАЯ ГВИАНА
258,ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ
260,ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ
262,ДЖИБУТИ
266,ГАБОН
268,ГРУЗИЯ
270,ГАМБИЯ
275,"ПАЛЕСТИНА, ГОСУДАРСТВО"
276,ГЕРМАНИЯ
288,ГАНА
292,ГИБРАЛТАР
