код,название,значение
4,АФГАНИСТАН,Strana_004AfgAfganistanMember
8,АЛБАНИЯ,Strana_008AlbAlbaniyaMember
10,АНТАРКТИДА,Strana_010AtaAntarktidaMember
12,АЛЖИР,Strana_012DzaAlzhirMember
16,АМЕРИКАНСКОЕ САМОА,Strana_016AsmAmerikanskoeSamoaMember
20,АНДОРРА,Strana_020AndAndorraMember
24,АНГОЛА,Strana_024AgoAngolaMember
28,АНТИГУА И БАРБУДА,Strana_028AtgAntiguaIBarbudaMember
31,АЗЕРБАЙДЖАН,Strana_031AzeAzerbajdzhanMember
32,АРГЕНТИНА,Strana_032ArgArgentinaMember
36,АВСТРАЛИЯ,Strana_036AusAvstraliyaMember
40,АВСТРИЯ,Strana_040AutAvstriyaMember
44,БАГАМЫ,Strana_044BhsBagamyMember
48,БАХРЕЙН,Strana_048BhrBaxrejnMember
50,БАНГЛАДЕШ,Strana_050BgdBangladeshMember
51,АРМЕНИЯ,Strana_051ArmArmeniyaMember
52,БАРБАДОС,Strana_052BrbBarbadosMember
56,БЕЛЬГИЯ,Strana_056BelBelgiyaMember
60,БЕРМУДЫ,Strana_060BmuBermudyMember
64,БУТАН,Strana_064BtnButanMember
68,"БОЛИВИЯ, МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО",Strana_068BolBoliviyaMnogonaczionalnoeGosudarstvoMember
70,БОСНИЯ И ГЕРЦЕГОВИНА,Strana_070BihBosniyaIGerczegovinaMember
72,БОТСВАНА,Strana_072BwaBotsvanaMember
74,ОСТРОВ БУВЕ,Strana_074BvtOstrovBuveMember
76,БРАЗИЛИЯ,Strana_076BraBraziliyaMember
84,БЕЛИЗ,Strana_084BlzBelizMember
86,БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ,Strana_086IotBritanskayaTerritoriyaVIndijskomOkeaneMember
90,СОЛОМОНОВЫ ОСТРОВА,Strana_090SlbSolomonovyOstrovaMember
92,ВИРГИНСКИЕ ОСТРОВА (БРИТАНСКИЕ),Strana_092VgbVirginskieOstrovaBritanskieMember
96,БРУНЕЙ-ДАРУССАЛАМ,Strana_096BrnBrunejDarussalamMember
100,БОЛГАРИЯ,Strana_100BgrBolgariyaMember
104,МЬЯНМА,Strana_104MmrMyanmaMember
108,БУРУНДИ,Strana_108BdiBurundiMember
112,БЕЛАРУСЬ,Strana_112BlrBelarusMember
116,КАМБОДЖА,Strana_116KhmKambodzhaMember
120,КАМЕРУН,Strana_120CmrKamerunMember
124,КАНАДА,Strana_124CanKanadaMember
132,КАБО-ВЕРДЕ,Strana_132CpvKaboVerdeMember
136,ОСТРОВА КАЙМАН,Strana_136CymOstrovaKajmanMember
140,ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА,Strana_140CafCZentralnoAfrikanskayaRespublikaMember
144,ШРИ-ЛАНКА,Strana_144LkaSHriLankaMember
148,ЧАД,Strana_148TcdCHadMember
152,ЧИЛИ,Strana_152ChlCHiliMember
156,КИТАЙ,Strana_156ChnKitajMember
