код,название,значение
01,NaimOKATO01000AltajskijKrajMember,Алтайский край 
03,NaimOKATO03000KrasnodarskijKrajMember,Краснодарский край 
04,NaimOKATO04000KrasnoyarskijKrajMember,Красноярский край 
05,NaimOKATO05000PrimorskijKrajMember,Приморский край 
07,NaimOKATO07000StavropolskijKrajMember,Ставропольский край 
08,NaimOKATO08000XabarovskijKrajMember,Хабаровский край 
10,NaimOKATO10000AmurskayaOblastMember,Амурская область 
11,NaimOKATO11000ArxangelskayaOblastMember,Архангельская область 
11100,NaimOKATO11100ArxangelskayaOblast_NeneckiyAOMember,Архангельская область - Ненецкий автономный округ 
12,NaimOKATO12000AstraxanskayaOblastMember,Астраханская область 
14,NaimOKATO14000BelgorodskayaOblastMember,Белгородская область 
15,NaimOKATO15000BryanskayaOblastMember,Брянская область 
17,NaimOKATO17000VladimirskayaOblastMember,Владимирская область 
18,NaimOKATO18000VolgogradskayaOblastMember,Волгоградская область 
19,NaimOKATO19000VologodskayaOblastMember,Вологодская область 
20,NaimOKATO20000VoronezhskayaOblastMember,Воронежская область 
21,NaimOKATO21000DoneczkayaNarodnRespMember,Донецкая Народная Республика
22,NaimOKATO22000NizhegorodskayaOblastMember,Нижегородская область 
23,NaimOKATO23000ZaporozhOblMember,Запорожская область
24,NaimOKATO24000IvanovskayaOblastMember,Ивановская область 
25,NaimOKATO25000IrkutskayaOblastMember,Иркутская область 
26,NaimOKATO26000RespublikaIngushetiyaMember,Республика Ингушетия 
27,NaimOKATO27000KaliningradskayaOblastMember,Калининградская область 
28,NaimOKATO28000TverskayaOblastMember,Тверская область 
29,NaimOKATO29000KaluzhskayaOblastMember,Калужская область 
30,NaimOKATO30000KamchatskijKrajMember,Камчатский край 
32,NaimOKATO32000KemerovskayaOblastMember,Кемеровская область 
33,NaimOKATO33000KirovskayaOblastMember,Кировская область 
34,NaimOKATO34000KostromskayaOblastMember,Костромская область 
35,NaimOKATO35000RespublikaKrymMember,Республика Крым 
36,NaimOKATO36000SamarskayaOblastMember,Самарская область 
37,NaimOKATO37000KurganskayaOblastMember,Курганская область 
38,NaimOKATO38000KurskayaOblastMember,Курская область 
40,NaimOKATO40000GorodSanktPeterburgGorodFederalnogoZnacheniyaMember,Город Санкт-Петербург город федерального значения 
41,NaimOKATO41000LeningradskayaOblastMember,Ленинградская область 
42,NaimOKATO42000LipeczkayaOblastMember,Липецкая область 
43,NaimOKATO43000LuganskayaNarodnRespMember,Луганская Народная Республика
44,NaimOKATO44000MagadanskayaOblastMember,Магаданская область 
45,NaimOKATO45000GorodMoskvaStoliczaRossijskojFederacziiGorodFederalnogoZnacheniyaMember,Город Москва столица Российской Федерации город федерального значения 
46,NaimOKATO46000MoskovskayaOblastMember,Московская область 
47,NaimOKATO47000MurmanskayaOblastMember,Мурманская область 
49,NaimOKATO49000NovgorodskayaOblastMember,Новгородская область 
50,NaimOKATO50000NovosibirskayaOblastMember,Новосибирская область 
52,NaimOKATO52000OmskayaOblastMember,Омская область 
53,NaimOKATO53000OrenburgskayaOblastMember,Оренбургская область 
54,NaimOKATO54000OrlovskayaOblastMember,Орловская область 
56,NaimOKATO56000PenzenskayaOblastMember,Пензенская область 
57,NaimOKATO57000PermskijKrajMember,Пермский край 
58,NaimOKATO58000PskovskayaOblastMember,Псковская область 
60,NaimOKATO60000RostovskayaOblastMember,Ростовская область 
61,NaimOKATO61000RyazanskayaOblastMember,Рязанская область 
63,NaimOKATO63000SaratovskayaOblastMember,Саратовская область 
64,NaimOKATO64000SaxalinskayaOblastMember,Сахалинская область 
65,NaimOKATO65000SverdlovskayaOblastMember,Свердловская область 
66,NaimOKATO66000SmolenskayaOblastMember,Смоленская область 
67,NaimOKATO67000GorodFederalnogoZnacheniyaSevastopolMember,Город федерального значения Севастополь 
68,NaimOKATO68000TambovskayaOblastMember,Тамбовская область 
69,NaimOKATO69000TomskayaOblastMember,Томская область 
70,NaimOKATO70000TulskayaOblastMember,Тульская область 
71,NaimOKATO71000TyumenskayaOblastMember,Тюменская область 
71100,NaimOKATO71100TyumenskayaOblast_Xanty_MansijskijAOMember," Тюменская область, Ханты-Мансийский автономный округ "
71140,NaimOKATO71140TyumenskayaOblast_Yamalo_NeneczkijAOMember," Тюменская область, Ямало-Ненецкий автономный округ "
73,NaimOKATO73000UlyanovskayaOblastMember,Ульяновская область 
74,NaimOKATO74000HersonskayaOblMember,Херсонская область
75,NaimOKATO75000CHelyabinskayaOblastMember,Челябинская область 
76,NaimOKATO76000ZabajkalskijKrajMember,Забайкальский край 
77,NaimOKATO77000CHukotskijAvtonomnyjOkrugMember,Чукотский автономный округ 
78,NaimOKATO78000YAroslavskayaOblastMember,Ярославская область 
79,NaimOKATO79000RespublikaAdygeyaAdygeyaMember,Республика Адыгея (Адыгея) 
80,NaimOKATO80000RespublikaBashkortostanMember,Республика Башкортостан 
81,NaimOKATO81000RespublikaBuryatiyaMember,Республика Бурятия 
82,NaimOKATO82000RespublikaDagestanMember,Республика Дагестан 
83,NaimOKATO83000KabardinoBalkarskayaRespublikaMember,Кабардино-Балкарская Республика 
84,NaimOKATO84000RespublikaAltajMember,Республика Алтай 
85,NaimOKATO85000RespublikaKalmykiyaMember,Республика Калмыкия 
86,NaimOKATO86000RespublikaKareliyaMember,Республика Карелия 
87,NaimOKATO87000RespublikaKomiMember,Республика Коми 
88,NaimOKATO88000RespublikaMarijElMember,Республика Марий Эл 
89,NaimOKATO89000RespublikaMordoviyaMember,Республика Мордовия 
90,NaimOKATO90000RespublikaSevernayaOsetiyaAlaniyaMember,Республика Северная Осетия-Алания 
91,NaimOKATO91000KarachaevoCHerkesskayaRespublikaMember,Карачаево-Черкесская Республика 
92,NaimOKATO92000RespublikaTatarstanTatarstanMember,Республика Татарстан (Татарстан) 
93,NaimOKATO93000RespublikaTyvaMember,Республика Тыва 
94,NaimOKATO94000UdmurtskayaRespublikaMember,Удмуртская Республика 
95,NaimOKATO95000RespublikaXakasiyaMember,Республика Хакасия 
96,NaimOKATO96000CHechenskayaRespublikaMember,Чеченская Республика 
97,NaimOKATO97000CHuvashskayaRespublikaCHuvashiyaMember,Чувашская Республика-Чувашия 
98,NaimOKATO98000RespublikaSaxaYAkutiyaMember,Республика Саха (Якутия) 
99,NaimOKATO99000EvrejskayaAvtonomnayaOblastMember,Еврейская автономная область 
55,NaimOKATO55000BaikonurMember,Байконур 
"Иные субъекты, включенные в ОКАТО",NaimOKATOInoeRMember,"Иные субъекты, включенные в ОКАТО"
